track_id, year, month, day, hour, i, j, lon, lat, msl, wind, zs
0, 2020, 1, 6, 0, 1277, 315, 139.250000, -11.250000, 1.005361e+05, 1.446032e+01, 1.754618e-01
0, 2020, 1, 6, 6, 1275, 316, 138.750000, -11.000000, 1.001142e+05, 1.399469e+01, -4.654886e-01
0, 2020, 1, 6, 12, 1275, 317, 138.750000, -10.750000, 1.002685e+05, 1.470792e+01, 3.585905e-01
0, 2020, 1, 6, 18, 1276, 317, 139.000000, -10.750000, 9.980441e+04, 1.922687e+01, -9.923124e-02
0, 2020, 1, 7, 0, 1278, 317, 139.500000, -10.750000, 9.972580e+04, 1.970627e+01, 5.417191e-01
0, 2020, 1, 7, 6, 1277, 316, 139.250000, -11.000000, 9.909629e+04, 2.094233e+01, 8.389743e-02
0, 2020, 1, 7, 12, 1276, 316, 139.000000, -11.000000, 9.899672e+04, 2.749481e+01, 8.389743e-02
0, 2020, 1, 7, 18, 1276, 313, 139.000000, -11.750000, 9.838355e+04, 2.822540e+01, -9.923124e-02
0, 2020, 1, 8, 0, 1275, 312, 138.750000, -12.000000, 9.792003e+04, 3.497491e+01, -2.823599e-01
0, 2020, 1, 8, 6, 1274, 310, 138.500000, -12.500000, 9.708302e+04, 3.573761e+01, 1.754618e-01
0, 2020, 1, 8, 12, 1271, 309, 137.750000, -12.750000, 9.631594e+04, 3.999009e+01, -6.486173e-01
0, 2020, 1, 8, 18, 1269, 307, 137.250000, -13.250000, 9.548502e+04, 4.364268e+01, 3.585905e-01
0, 2020, 1, 9, 0, 1266, 306, 136.500000, -13.500000, 9.573014e+04, 4.192176e+01, 5.417191e-01
0, 2020, 1, 9, 6, 1263, 304, 135.750000, -14.000000, 9.610131e+04, 3.339618e+01, -4.654886e-01
0, 2020, 1, 9, 12, 1259, 301, 134.750000, -14.750000, 9.765437e+04, 2.417080e+01, 2.670261e-01
0, 2020, 1, 9, 18, 1254, 298, 133.500000, -15.500000, 9.865444e+04, 1.421680e+01, -9.233103e-01
0, 2020, 1, 10, 0, 1250, 296, 132.500000, -16.000000, 9.954407e+04, 1.146377e+01, -1.907956e-01
0, 2020, 1, 10, 6, 1246, 294, 131.500000, -16.500000, 9.954419e+04, 1.013833e+01, 8.389743e-02
0, 2020, 1, 10, 12, 1240, 291, 130.000000, -17.250000, 1.000253e+05, 1.015883e+01, 2.670261e-01
0, 2020, 1, 10, 18, 1235, 288, 128.750000, -18.000000, 9.988205e+04, 1.129167e+01, -7.666904e-03
0, 2020, 1, 11, 0, 1229, 285, 127.250000, -18.750000, 1.001320e+05, 1.022467e+01, 8.389743e-02
0, 2020, 1, 11, 6, 1224, 282, 126.000000, -19.500000, 9.975227e+04, 1.057494e+01, -9.923124e-02
0, 2020, 1, 11, 12, 1218, 280, 124.500000, -20.000000, 9.999691e+04, 1.035020e+01, 3.585905e-01
0, 2020, 1, 11, 18, 1210, 276, 122.500000, -21.000000, 9.986474e+04, 1.099132e+01, 6.332834e-01
0, 2020, 1, 12, 0, 1207, 273, 121.750000, -21.750000, 1.001473e+05, 1.108925e+01, -6.486173e-01
0, 2020, 1, 12, 18, 1192, 264, 118.000000, -24.000000, 9.990029e+04, 1.122662e+01, 2.370750e+01
0, 2020, 1, 13, 6, 1177, 253, 114.250000, -26.750000, 1.000273e+05, 1.010144e+01, 4.270484e+02
0, 2020, 1, 13, 12, 1179, 252, 114.750000, -27.000000, 1.003026e+05, 1.113894e+01, 1.157297e+02
0, 2020, 1, 13, 18, 1176, 249, 114.000000, -27.750000, 1.003401e+05, 1.186707e+01, 2.566472e+02
1, 2020, 1, 17, 18, 1007, 324, 71.750000, -9.000000, 1.007733e+05, 1.450365e+01, -3.739243e-01
1, 2020, 1, 18, 0, 1006, 318, 71.500000, -10.500000, 1.005871e+05, 1.257918e+01, -3.739243e-01
1, 2020, 1, 18, 12, 1003, 320, 70.750000, -10.000000, 1.006087e+05, 1.120463e+01, -8.317459e-01
1, 2020, 1, 18, 18, 1008, 319, 72.000000, -10.250000, 1.008476e+05, 1.345991e+01, -1.564261e+00
1, 2020, 1, 19, 0, 1004, 316, 71.000000, -11.000000, 1.006052e+05, 1.399629e+01, -4.654886e-01
1, 2020, 1, 19, 6, 1007, 319, 71.750000, -10.250000, 1.006860e+05, 1.726762e+01, 1.091105e+00
1, 2020, 1, 19, 12, 1008, 317, 72.000000, -10.750000, 1.004142e+05, 1.695945e+01, -7.401816e-01
1, 2020, 1, 19, 18, 1009, 318, 72.250000, -10.500000, 1.006106e+05, 1.875054e+01, 2.189877e+00
1, 2020, 1, 20, 0, 1008, 320, 72.000000, -10.000000, 1.003679e+05, 2.072743e+01, 9.995408e-01
1, 2020, 1, 20, 6, 1011, 323, 72.750000, -9.250000, 1.003606e+05, 2.572003e+01, -7.666904e-03
1, 2020, 1, 20, 12, 1017, 325, 74.250000, -8.750000, 1.000394e+05, 2.442020e+01, 1.365798e+00
1, 2020, 1, 20, 18, 1019, 327, 74.750000, -8.250000, 1.002452e+05, 2.573544e+01, 1.182670e+00
1, 2020, 1, 21, 0, 1025, 328, 76.250000, -8.000000, 9.996920e+04, 2.433433e+01, -4.677448e+00
1, 2020, 1, 21, 6, 1029, 329, 77.250000, -7.750000, 1.000043e+05, 2.405034e+01, 9.881282e+00
1, 2020, 1, 21, 12, 1033, 328, 78.250000, -8.000000, 9.972722e+04, 2.365644e+01, -3.944933e+00
1, 2020, 1, 21, 18, 1035, 326, 78.750000, -8.500000, 1.000526e+05, 2.465016e+01, 3.563342e+00
1, 2020, 1, 22, 0, 1038, 325, 79.500000, -8.750000, 9.979162e+04, 2.397218e+01, -2.571468e+00
1, 2020, 1, 22, 6, 1040, 322, 80.000000, -9.500000, 9.985884e+04, 2.200738e+01, 3.654907e+00
1, 2020, 1, 22, 12, 1043, 319, 80.750000, -10.250000, 9.966797e+04, 2.232811e+01, -1.564261e+00
