track_id, year, month, day, hour, i, j, lon, lat, psl, wind, zs
0, 2020, 2, 6, 6, 565, 303, -38.750000, -14.250000, 1.006654e+05, 1.237175e+01, -1.907956e-01
0, 2020, 2, 6, 12, 569, 300, -37.750000, -15.000000, 1.008252e+05, 1.332335e+01, -5.570529e-01
0, 2020, 2, 6, 18, 573, 296, -36.750000, -16.000000, 1.006958e+05, 1.337989e+01, 1.754618e-01
0, 2020, 2, 7, 0, 574, 290, -36.500000, -17.500000, 1.008890e+05, 1.552051e+01, -9.923124e-02
0, 2020, 2, 7, 18, 573, 281, -36.750000, -19.750000, 1.006430e+05, 1.543359e+01, 8.389743e-02
0, 2020, 2, 8, 0, 574, 276, -36.500000, -21.000000, 1.006307e+05, 1.702251e+01, -9.923124e-02
0, 2020, 2, 8, 6, 572, 275, -37.000000, -21.250000, 1.004818e+05, 1.544372e+01, 1.754618e-01
0, 2020, 2, 8, 18, 576, 272, -36.000000, -22.000000, 1.006229e+05, 1.571618e+01, 8.389743e-02
0, 2020, 2, 9, 18, 590, 250, -32.500000, -27.500000, 1.007518e+05, 1.336956e+01, -1.907956e-01
0, 2020, 2, 10, 0, 600, 248, -30.000000, -28.000000, 1.011034e+05, 1.385086e+01, 1.754618e-01
0, 2020, 2, 10, 6, 607, 245, -28.250000, -28.750000, 1.008754e+05, 1.554808e+01, -9.923124e-02
1, 2020, 2, 9, 6, 1395, 269, 168.750000, -22.750000, 9.982936e+04, 1.637282e+01, -7.666904e-03
1, 2020, 2, 9, 12, 1393, 271, 168.250000, -22.250000, 9.986770e+04, 1.491515e+01, 1.754618e-01
1, 2020, 2, 9, 18, 1403, 255, 170.750000, -26.250000, 9.968053e+04, 1.887388e+01, -9.923124e-02
1, 2020, 2, 10, 0, 1398, 257, 169.500000, -25.750000, 9.970023e+04, 1.885903e+01, -1.907956e-01
1, 2020, 2, 10, 6, 1395, 261, 168.750000, -24.750000, 9.960630e+04, 1.626786e+01, -1.907956e-01
1, 2020, 2, 10, 12, 1408, 263, 172.000000, -24.250000, 9.980796e+04, 1.194714e+01, -7.666904e-03
1, 2020, 2, 11, 12, 1418, 252, 174.500000, -27.000000, 9.964744e+04, 1.369471e+01, 1.754618e-01
1, 2020, 2, 11, 18, 1421, 246, 175.250000, -28.500000, 9.951748e+04, 1.450320e+01, -7.401816e-01
1, 2020, 2, 12, 0, 1422, 242, 175.500000, -29.500000, 9.947844e+04, 1.708788e+01, -7.666904e-03
1, 2020, 2, 12, 6, 1424, 238, 176.000000, -30.500000, 9.948081e+04, 1.708279e+01, -1.907956e-01
1, 2020, 2, 12, 12, 1422, 235, 175.500000, -31.250000, 9.965658e+04, 1.638606e+01, -7.666904e-03
1, 2020, 2, 13, 0, 1401, 215, 170.250000, -36.250000, 9.967073e+04, 1.926626e+01, 8.389743e-02
2, 2020, 2, 12, 6, 528, 207, -48.000000, -38.250000, 9.985541e+04, 1.951911e+01, 1.754618e-01
2, 2020, 2, 12, 12, 525, 199, -48.750000, -40.250000, 9.917917e+04, 1.970650e+01, -4.654886e-01
2, 2020, 2, 12, 18, 524, 198, -49.000000, -40.500000, 9.897052e+04, 2.046248e+01, 2.670261e-01
2, 2020, 2, 13, 0, 530, 201, -47.500000, -39.750000, 9.904273e+04, 2.049354e+01, 8.389743e-02
2, 2020, 2, 13, 6, 540, 200, -45.000000, -40.000000, 9.879103e+04, 1.863488e+01, 8.389743e-02
2, 2020, 2, 13, 12, 549, 198, -42.750000, -40.500000, 9.874795e+04, 1.998441e+01, -7.666904e-03
2, 2020, 2, 13, 18, 558, 195, -40.500000, -41.250000, 9.863502e+04, 1.847602e+01, 8.389743e-02
2, 2020, 2, 14, 6, 574, 193, -36.500000, -41.750000, 9.862921e+04, 1.618592e+01, -9.923124e-02
2, 2020, 2, 14, 12, 586, 190, -33.500000, -42.500000, 9.871944e+04, 1.604473e+01, 1.754618e-01
